Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2500,4.0,4,,,,,,
,,,,,2506,6.0,6,,,,,,
,,,,,2511,5.0,5,,,,,,
,,,,,2521,10.0,10,,,,,,
,,,,,2528,7.0,7,,,,,,
,,,,,2540,12.0,12,,,,,,
,,,,,2547,7.0,7,,,,,,
,,,,,2550,3.0,3,,,,,,
,,,,,2563,13.0,13,,,,,,
,,,,,2575,12.0,12,,,,,,
,,,,,2583,8.0,8,,,,,,
,,,,,2587,4.0,4,,,,,,
,,,,,2592,5.0,5,,,,,,
,,,,,2598,6.0,6,,,,,,
,,,,,2602,4.0,4,,,,,,
,,,,,2612,10.0,10,,,,,,
,,,,,2616,4.0,4,,,,,,
,,,,,2623,7.0,7,,,,,,
,,,,,2629,6.0,6,,,,,,
,,,,,2636,7.0,7,,,,,,
,,,,,2642,6.0,6,,,,,,
,,,,,2660,18.0,18,,,,,,
,,,,,2665,5.0,5,,,,,,
,,,,,2668,3.0,3,,,,,,
,,,,,2676,8.0,8,,,,,,
,,,,,2682,6.0,6,,,,,,
,,,,,2685,3.0,3,,,,,,
,,,,,2689,4.0,4,,,,,,
,,,,,2695,6.0,6,,,,,,
,,,,,2702,7.0,7,,,,,,
,,,,,2707,5.0,5,,,,,,
,,,,,2711,4.0,4,,,,,,
,,,,,2714,3.0,3,,,,,,
,,,,,2718,4.0,4,,,,,,
,,,,,2722,4.0,4,,,,,,
,,,,,2727,5.0,5,,,,,,
,,,,,2732,5.0,5,,,,,,
,,,,,2741,9.0,9,,,,,,
,,,,,2749,8.0,8,,,,,,
,,,,,2765,16.0,16,,,,,,
,,,,,2775,10.0,10,,,,,,
,,,,,2781,6.0,6,,,,,,
,,,,,2785,4.0,4,,,,,,
,,,,,2792,7.0,7,,,,,,
,,,,,2796,4.0,4,,,,,,
,,,,,2802,6.0,6,,,,,,
,,,,,2807,5.0,5,,,,,,
,,,,,2829,22.0,22,,,,,,
,,,,,2834,5.0,5,,,,,,
,,,,,2843,9.0,9,,,,,,
,,,,,2847,4.0,4,,,,,,
,,,,,2850,3.0,3,,,,,,
,,,,,2853,3.0,3,,,,,,
,,,,,2857,4.0,4,,,,,,
,,,,,2866,9.0,9,,,,,,
,,,,,2877,11.0,11,,,,,,
,,,,,2882,5.0,5,,,,,,
,,,,,2887,5.0,5,,,,,,
,,,,,2895,8.0,8,,,,,,
,,,,,2911,16.0,16,,,,,,
,,,,,2921,10.0,10,,,,,,
,,,,,2931,10.0,10,,,,,,
,,,,,2937,6.0,6,,,,,,
,,,,,2943,6.0,6,,,,,,
,,,,,2953,10.0,10,,,,,,
,,,,,2958,5.0,5,,,,,,
,,,,,2965,7.0,7,,,,,,
,,,,,2977,12.0,12,,,,,,
,,,,,2995,18.0,18,,,,,,
,,,,,3001,6.0,6,,,,,,
,,,,,3008,7.0,7,,,,,,
,,,,,3016,8.0,8,,,,,,
,,,,,3020,4.0,4,,,,,,
,,,,,3041,21.0,21,,,,,,
,,,,,3049,8.0,8,,,,,,
,,,,,3057,8.0,8,,,,,,
,,,,,3063,6.0,6,,,,,,
,,,,,3075,12.0,12,,,,,,
,,,,,3080,5.0,5,,,,,,
,,,,,3089,9.0,9,,,,,,
,,,,,3097,8.0,8,,,,,,
,,,,,3103,6.0,6,,,,,,
,,,,,3107,4.0,4,,,,,,
,,,,,3110,3.0,3,,,,,,
,,,,,3123,13.0,13,,,,,,
,,,,,3126,3.0,3,,,,,,
,,,,,3130,4.0,4,,,,,,
,,,,,3133,3.0,3,,,,,,
,,,,,3136,3.0,3,,,,,,
,,,,,3140,4.0,4,,,,,,
,,,,,3144,4.0,4,,,,,,
,,,,,3148,4.0,4,,,,,,
,,,,,3158,10.0,10,,,,,,
,,,,,3167,9.0,9,,,,,,
,,,,,3171,4.0,4,,,,,,
,,,,,3179,8.0,8,,,,,,
,,,,,3184,5.0,5,,,,,,
