Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,1373,3.0,3,,,,,,,,,,
,,,,,1382,9.0,9,,,,,,,,,,
,,,,,1400,18.0,18,,,,,,,,,,
,,,,,1412,12.0,12,,,,,,,,,,
,,,,,1419,7.0,7,,,,,,,,,,
,,,,,1427,8.0,8,,,,,,,,,,
,,,,,1430,3.0,3,,,,,,,,,,
,,,,,1435,5.0,5,,,,,,,,,,
,,,,,1445,10.0,10,,,,,,,,,,
,,,,,1448,3.0,3,,,,,,,,,,
,,,,,1453,5.0,5,,,,,,,,,,
,,,,,1457,4.0,4,,,,,,,,,,
,,,,,1467,10.0,10,,,,,,,,,,
,,,,,1473,6.0,6,,,,,,,,,,
,,,,,1476,3.0,3,,,,,,,,,,
,,,,,1479,3.0,3,,,,,,,,,,
,,,,,1483,4.0,4,,,,,,,,,,
,,,,,1487,4.0,4,,,,,,,,,,
,,,,,1490,3.0,3,,,,,,,,,,
,,,,,1512,22.0,22,,,,,,,,,,
,,,,,1518,6.0,6,,,,,,,,,,
,,,,,1523,5.0,5,,,,,,,,,,
,,,,,1534,11.0,11,,,,,,,,,,
,,,,,1540,6.0,6,,,,,,,,,,
,,,,,1546,6.0,6,,,,,,,,,,
,,,,,1553,7.0,7,,,,,,,,,,
,,,,,1556,3.0,3,,,,,,,,,,
,,,,,1568,12.0,12,,,,,,,,,,
,,,,,1572,4.0,4,,,,,,,,,,
,,,,,1577,5.0,5,,,,,,,,,,
,,,,,1590,13.0,13,,,,,,,,,,
,,,,,1593,3.0,3,,,,,,,,,,
,,,,,1597,4.0,4,,,,,,,,,,
,,,,,1601,4.0,4,,,,,,,,,,
,,,,,1604,3.0,3,,,,,,,,,,
,,,,,1610,6.0,6,,,,,,,,,,
,,,,,1615,5.0,5,,,,,,,,,,
,,,,,1619,4.0,4,,,,,,,,,,
,,,,,1633,14.0,14,,,,,,,,,,
,,,,,1649,16.0,16,,,,,,,,,,
,,,,,1657,8.0,8,,,,,,,,,,
,,,,,1661,4.0,4,,,,,,,,,,
,,,,,1664,3.0,3,,,,,,,,,,
,,,,,1669,5.0,5,,,,,,,,,,
,,,,,1680,11.0,11,,,,,,,,,,
,,,,,1686,6.0,6,,,,,,,,,,
,,,,,1694,8.0,8,,,,,,,,,,
,,,,,1699,5.0,5,,,,,,,,,,
,,,,,1704,5.0,5,,,,,,,,,,
,,,,,1723,19.0,19,,,,,,,,,,
,,,,,1726,3.0,3,,,,,,,,,,
,,,,,1739,13.0,13,,,,,,,,,,
,,,,,1746,7.0,7,,,,,,,,,,
,,,,,1753,7.0,7,,,,,,,,,,
,,,,,1758,5.0,5,,,,,,,,,,
,,,,,1762,4.0,4,,,,,,,,,,
,,,,,1767,5.0,5,,,,,,,,,,
,,,,,1770,3.0,3,,,,,,,,,,
,,,,,1775,5.0,5,,,,,,,,,,
,,,,,1802,27.0,27,,,,,,,,,,
,,,,,1805,3.0,3,,,,,,,,,,
,,,,,1810,5.0,5,,,,,,,,,,
,,,,,1816,6.0,6,,,,,,,,,,
,,,,,1820,4.0,4,,,,,,,,,,
,,,,,1827,7.0,7,,,,,,,,,,
,,,,,1834,7.0,7,,,,,,,,,,
,,,,,1843,9.0,9,,,,,,,,,,
,,,,,1854,11.0,11,,,,,,,,,,
,,,,,1857,3.0,3,,,,,,,,,,
,,,,,1863,6.0,6,,,,,,,,,,
,,,,,1871,8.0,8,,,,,,,,,,
,,,,,1886,15.0,15,,,,,,,,,,
,,,,,1891,5.0,5,,,,,,,,,,
,,,,,1903,12.0,12,,,,,,,,,,
,,,,,1906,3.0,3,,,,,,,,,,
,,,,,1910,4.0,4,,,,,,,,,,
,,,,,1920,10.0,10,,,,,,,,,,
,,,,,1928,8.0,8,,,,,,,,,,
,,,,,1933,5.0,5,,,,,,,,,,
,,,,,1936,3.0,3,,,,,,,,,,
,,,,,1944,8.0,8,,,,,,,,,,
,,,,,1954,10.0,10,,,,,,,,,,
,,,,,1961,7.0,7,,,,,,,,,,
,,,,,1965,4.0,4,,,,,,,,,,
,,,,,1968,3.0,3,,,,,,,,,,
,,,,,1988,20.0,20,,,,,,,,,,
,,,,,1991,3.0,3,,,,,,,,,,
,,,,,1999,8.0,8,,,,,,,,,,
,,,,,2005,6.0,6,,,,,,,,,,
,,,,,2009,4.0,4,,,,,,,,,,
,,,,,2013,4.0,4,,,,,,,,,,
,,,,,2021,8.0,8,,,,,,,,,,
,,,,,2025,4.0,4,,,,,,,,,,
,,,,,2034,9.0,9,,,,,,,,,,
,,,,,2048,14.0,14,,,,,,,,,,
