Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,1565,8.0,8,,,,,,,,
,,,,,1573,8.0,8,,,,,,,,
,,,,,1577,4.0,4,,,,,,,,
,,,,,1582,5.0,5,,,,,,,,
,,,,,1591,9.0,9,,,,,,,,
,,,,,1595,4.0,4,,,,,,,,
,,,,,1599,4.0,4,,,,,,,,
,,,,,1602,3.0,3,,,,,,,,
,,,,,1608,6.0,6,,,,,,,,
,,,,,1613,5.0,5,,,,,,,,
,,,,,1618,5.0,5,,,,,,,,
,,,,,1629,11.0,11,,,,,,,,
,,,,,1633,4.0,4,,,,,,,,
,,,,,1644,11.0,11,,,,,,,,
,,,,,1647,3.0,3,,,,,,,,
,,,,,1655,8.0,8,,,,,,,,
,,,,,1659,4.0,4,,,,,,,,
,,,,,1662,3.0,3,,,,,,,,
,,,,,1667,5.0,5,,,,,,,,
,,,,,1678,11.0,11,,,,,,,,
,,,,,1684,6.0,6,,,,,,,,
,,,,,1692,8.0,8,,,,,,,,
,,,,,1697,5.0,5,,,,,,,,
,,,,,1702,5.0,5,,,,,,,,
,,,,,1712,10.0,10,,,,,,,,
,,,,,1717,5.0,5,,,,,,,,
,,,,,1722,5.0,5,,,,,,,,
,,,,,1725,3.0,3,,,,,,,,
,,,,,1732,7.0,7,,,,,,,,
,,,,,1735,3.0,3,,,,,,,,
,,,,,1738,3.0,3,,,,,,,,
,,,,,1743,5.0,5,,,,,,,,
,,,,,1748,5.0,5,,,,,,,,
,,,,,1755,7.0,7,,,,,,,,
,,,,,1759,4.0,4,,,,,,,,
,,,,,1764,5.0,5,,,,,,,,
,,,,,1767,3.0,3,,,,,,,,
,,,,,1774,7.0,7,,,,,,,,
,,,,,1787,13.0,13,,,,,,,,
,,,,,1793,6.0,6,,,,,,,,
,,,,,1797,4.0,4,,,,,,,,
,,,,,1801,4.0,4,,,,,,,,
,,,,,1805,4.0,4,,,,,,,,
,,,,,1813,8.0,8,,,,,,,,
,,,,,1817,4.0,4,,,,,,,,
,,,,,1820,3.0,3,,,,,,,,
,,,,,1827,7.0,7,,,,,,,,
,,,,,1832,5.0,5,,,,,,,,
,,,,,1841,9.0,9,,,,,,,,
,,,,,1852,11.0,11,,,,,,,,
,,,,,1855,3.0,3,,,,,,,,
,,,,,1861,6.0,6,,,,,,,,
,,,,,1869,8.0,8,,,,,,,,
,,,,,1885,16.0,16,,,,,,,,
,,,,,1890,5.0,5,,,,,,,,
,,,,,1894,4.0,4,,,,,,,,
,,,,,1898,4.0,4,,,,,,,,
,,,,,1901,3.0,3,,,,,,,,
,,,,,1904,3.0,3,,,,,,,,
,,,,,1908,4.0,4,,,,,,,,
,,,,,1918,10.0,10,,,,,,,,
,,,,,1926,8.0,8,,,,,,,,
,,,,,1931,5.0,5,,,,,,,,
,,,,,1934,3.0,3,,,,,,,,
,,,,,1941,7.0,7,,,,,,,,
,,,,,1951,10.0,10,,,,,,,,
,,,,,1955,4.0,4,,,,,,,,
,,,,,1959,4.0,4,,,,,,,,
,,,,,1963,4.0,4,,,,,,,,
,,,,,1966,3.0,3,,,,,,,,
,,,,,1986,20.0,20,,,,,,,,
,,,,,1989,3.0,3,,,,,,,,
,,,,,1998,9.0,9,,,,,,,,
,,,,,2006,8.0,8,,,,,,,,
,,,,,2014,8.0,8,,,,,,,,
,,,,,2020,6.0,6,,,,,,,,
,,,,,2029,9.0,9,,,,,,,,
,,,,,2034,5.0,5,,,,,,,,
,,,,,2047,13.0,13,,,,,,,,
,,,,,2053,6.0,6,,,,,,,,
,,,,,2060,7.0,7,,,,,,,,
,,,,,2078,18.0,18,,,,,,,,
,,,,,2086,8.0,8,,,,,,,,
,,,,,2089,3.0,3,,,,,,,,
,,,,,2093,4.0,4,,,,,,,,
,,,,,2098,5.0,5,,,,,,,,
,,,,,2109,11.0,11,,,,,,,,
,,,,,2123,14.0,14,,,,,,,,
,,,,,2130,7.0,7,,,,,,,,
,,,,,2147,17.0,17,,,,,,,,
,,,,,2151,4.0,4,,,,,,,,
,,,,,2155,4.0,4,,,,,,,,
,,,,,2167,12.0,12,,,,,,,,
,,,,,2175,8.0,8,,,,,,,,
,,,,,2178,3.0,3,,,,,,,,
,,,,,2187,9.0,9,,,,,,,,
,,,,,2196,9.0,9,,,,,,,,
,,,,,2205,9.0,9,,,,,,,,
,,,,,2210,5.0,5,,,,,,,,
,,,,,2218,8.0,8,,,,,,,,
,,,,,2223,5.0,5,,,,,,,,
,,,,,2230,7.0,7,,,,,,,,
,,,,,2237,7.0,7,,,,,,,,
,,,,,2250,13.0,13,,,,,,,,
,,,,,2254,4.0,4,,,,,,,,
,,,,,2270,16.0,16,,,,,,,,
,,,,,2283,13.0,13,,,,,,,,
,,,,,2288,5.0,5,,,,,,,,
,,,,,2301,13.0,13,,,,,,,,
,,,,,2306,5.0,5,,,,,,,,
,,,,,2316,10.0,10,,,,,,,,
,,,,,2324,8.0,8,,,,,,,,
,,,,,2335,11.0,11,,,,,,,,
,,,,,2346,11.0,11,,,,,,,,
,,,,,2352,6.0,6,,,,,,,,
,,,,,2357,5.0,5,,,,,,,,
,,,,,2361,4.0,4,,,,,,,,
,,,,,2374,13.0,13,,,,,,,,
,,,,,2382,8.0,8,,,,,,,,
,,,,,2401,19.0,19,,,,,,,,
,,,,,2408,7.0,7,,,,,,,,
,,,,,2414,6.0,6,,,,,,,,
,,,,,2418,4.0,4,,,,,,,,
,,,,,2425,7.0,7,,,,,,,,
,,,,,2429,4.0,4,,,,,,,,
,,,,,2435,6.0,6,,,,,,,,
,,,,,2438,3.0,3,,,,,,,,
,,,,,2451,13.0,13,,,,,,,,
,,,,,2461,10.0,10,,,,,,,,
,,,,,2465,4.0,4,,,,,,,,
,,,,,2471,6.0,6,,,,,,,,
,,,,,2480,9.0,9,,,,,,,,
,,,,,2483,3.0,3,,,,,,,,
,,,,,2492,9.0,9,,,,,,,,
,,,,,2499,7.0,7,,,,,,,,
,,,,,2506,7.0,7,,,,,,,,
,,,,,2516,10.0,10,,,,,,,,
,,,,,2524,8.0,8,,,,,,,,
,,,,,2531,7.0,7,,,,,,,,
,,,,,2541,10.0,10,,,,,,,,
,,,,,2544,3.0,3,,,,,,,,
,,,,,2556,12.0,12,,,,,,,,
,,,,,2566,10.0,10,,,,,,,,
,,,,,2571,5.0,5,,,,,,,,
,,,,,2584,13.0,13,,,,,,,,
,,,,,2588,4.0,4,,,,,,,,
,,,,,2591,3.0,3,,,,,,,,
,,,,,2606,15.0,15,,,,,,,,
,,,,,2610,4.0,4,,,,,,,,
,,,,,2618,8.0,8,,,,,,,,
,,,,,2623,5.0,5,,,,,,,,
,,,,,2629,6.0,6,,,,,,,,
,,,,,2637,8.0,8,,,,,,,,
,,,,,2654,17.0,17,,,,,,,,
,,,,,2659,5.0,5,,,,,,,,
,,,,,2662,3.0,3,,,,,,,,
,,,,,2670,8.0,8,,,,,,,,
,,,,,2676,6.0,6,,,,,,,,
,,,,,2680,4.0,4,,,,,,,,
,,,,,2688,8.0,8,,,,,,,,
,,,,,2696,8.0,8,,,,,,,,
,,,,,2701,5.0,5,,,,,,,,
,,,,,2705,4.0,4,,,,,,,,
,,,,,2709,4.0,4,,,,,,,,
,,,,,2719,10.0,10,,,,,,,,
,,,,,2727,8.0,8,,,,,,,,
,,,,,2732,5.0,5,,,,,,,,
,,,,,2735,3.0,3,,,,,,,,
,,,,,2743,8.0,8,,,,,,,,
,,,,,2760,17.0,17,,,,,,,,
,,,,,2769,9.0,9,,,,,,,,
,,,,,2775,6.0,6,,,,,,,,
,,,,,2779,4.0,4,,,,,,,,
,,,,,2786,7.0,7,,,,,,,,
,,,,,2790,4.0,4,,,,,,,,
,,,,,2796,6.0,6,,,,,,,,
,,,,,2801,5.0,5,,,,,,,,
,,,,,2820,19.0,19,,,,,,,,
,,,,,2829,9.0,9,,,,,,,,
,,,,,2835,6.0,6,,,,,,,,
