Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,9355,68.0,68,,,,,,
,,,,,9370,15.0,15,,,,,,
,,,,,9391,21.0,21,,,,,,
,,,,,9484,93.0,93,,,,,,
,,,,,9511,27.0,27,,,,,,
,,,,,9527,16.0,16,,,,,,
,,,,,9604,77.0,77,,,,,,
,,,,,9620,16.0,16,,,,,,
,,,,,9691,71.0,71,,,,,,
,,,,,9724,33.0,33,,,,,,
,,,,,9742,18.0,18,,,,,,
,,,,,9776,34.0,34,,,,,,
,,,,,9809,33.0,33,,,,,,
,,,,,9833,24.0,24,,,,,,
,,,,,9867,34.0,34,,,,,,
,,,,,9998,131.0,131,,,,,,
212.4,79.235344,440.0,160.0,212.4,10000,,,0.13186785578727722,8.182482719421387,8.16335391998291,1.345169186592102,0.7,0.0005
,,,,,10010,12.0,12,,,,,,
,,,,,10035,25.0,25,,,,,,
,,,,,10068,33.0,33,,,,,,
,,,,,10166,98.0,98,,,,,,
,,,,,10202,36.0,36,,,,,,
,,,,,10234,32.0,32,,,,,,
,,,,,10297,63.0,63,,,,,,
,,,,,10351,54.0,54,,,,,,
,,,,,10410,59.0,59,,,,,,
,,,,,10454,44.0,44,,,,,,
,,,,,10520,66.0,66,,,,,,
,,,,,10573,53.0,53,,,,,,
,,,,,10597,24.0,24,,,,,,
,,,,,10668,71.0,71,,,,,,
,,,,,10689,21.0,21,,,,,,
,,,,,10751,62.0,62,,,,,,
,,,,,10796,45.0,45,,,,,,
,,,,,10850,54.0,54,,,,,,
,,,,,10879,29.0,29,,,,,,
,,,,,10910,31.0,31,,,,,,
,,,,,10920,10.0,10,,,,,,
,,,,,10936,16.0,16,,,,,,
,,,,,10950,14.0,14,,,,,,
,,,,,10998,48.0,48,,,,,,
,,,,,11000,,,0.04264957830309868,9.130682945251465,9.091869354248047,0.4779234528541565,0.67,0.0005
,,,,,11019,21.0,21,,,,,,
,,,,,11039,20.0,20,,,,,,
,,,,,11089,50.0,50,,,,,,
,,,,,11115,26.0,26,,,,,,
,,,,,11215,100.0,100,,,,,,
,,,,,11232,17.0,17,,,,,,
,,,,,11259,27.0,27,,,,,,
,,,,,11389,130.0,130,,,,,,
,,,,,11451,62.0,62,,,,,,
,,,,,11472,21.0,21,,,,,,
,,,,,11519,47.0,47,,,,,,
,,,,,11586,67.0,67,,,,,,
,,,,,11620,34.0,34,,,,,,
,,,,,11651,31.0,31,,,,,,
,,,,,11713,62.0,62,,,,,,
,,,,,11783,70.0,70,,,,,,
,,,,,11833,50.0,50,,,,,,
,,,,,11850,17.0,17,,,,,,
,,,,,11863,13.0,13,,,,,,
,,,,,11893,30.0,30,,,,,,
,,,,,11921,28.0,28,,,,,,
,,,,,11980,59.0,59,,,,,,
,,,,,12000,,,0.042516738176345825,10.231929779052734,10.29983901977539,1.1397285461425781,0.6399999999999999,0.0005
,,,,,12003,23.0,23,,,,,,
,,,,,12013,10.0,10,,,,,,
,,,,,12062,49.0,49,,,,,,
,,,,,12081,19.0,19,,,,,,
,,,,,12138,57.0,57,,,,,,
,,,,,12204,66.0,66,,,,,,
,,,,,12241,37.0,37,,,,,,
,,,,,12279,38.0,38,,,,,,
,,,,,12350,71.0,71,,,,,,
,,,,,12366,16.0,16,,,,,,
,,,,,12381,15.0,15,,,,,,
,,,,,12413,32.0,32,,,,,,
,,,,,12449,36.0,36,,,,,,
,,,,,12491,42.0,42,,,,,,
194.4,65.64784,339.0,120.0,194.4,12500,,,0.03243309631943703,10.428230285644531,10.416328430175781,0.39027926325798035,0.625,0.0005
,,,,,12522,31.0,31,,,,,,
,,,,,12568,46.0,46,,,,,,
,,,,,12586,18.0,18,,,,,,
,,,,,12634,48.0,48,,,,,,
,,,,,12720,86.0,86,,,,,,
,,,,,12736,16.0,16,,,,,,
,,,,,12784,48.0,48,,,,,,
,,,,,12797,13.0,13,,,,,,
,,,,,12844,47.0,47,,,,,,
,,,,,12872,28.0,28,,,,,,
,,,,,12889,17.0,17,,,,,,
,,,,,12913,24.0,24,,,,,,
,,,,,12927,14.0,14,,,,,,
,,,,,12990,63.0,63,,,,,,
,,,,,13000,,,0.01800394058227539,10.583695411682129,10.590744018554688,0.46156248450279236,0.61,0.0005
,,,,,13014,24.0,24,,,,,,
,,,,,13065,51.0,51,,,,,,
,,,,,13107,42.0,42,,,,,,
,,,,,13124,17.0,17,,,,,,
,,,,,13155,31.0,31,,,,,,
,,,,,13215,60.0,60,,,,,,
,,,,,13233,18.0,18,,,,,,
,,,,,13256,23.0,23,,,,,,
,,,,,13280,24.0,24,,,,,,
,,,,,13309,29.0,29,,,,,,
,,,,,13363,54.0,54,,,,,,
,,,,,13394,31.0,31,,,,,,
,,,,,13441,47.0,47,,,,,,
,,,,,13472,31.0,31,,,,,,
,,,,,13545,73.0,73,,,,,,
,,,,,13590,45.0,45,,,,,,
,,,,,13610,20.0,20,,,,,,
,,,,,13629,19.0,19,,,,,,
,,,,,13666,37.0,37,,,,,,
,,,,,13730,64.0,64,,,,,,
,,,,,13772,42.0,42,,,,,,
,,,,,13831,59.0,59,,,,,,
,,,,,13849,18.0,18,,,,,,
,,,,,13888,39.0,39,,,,,,
,,,,,13938,50.0,50,,,,,,
,,,,,13984,46.0,46,,,,,,
,,,,,14000,,,0.36636805534362793,11.587908744812012,11.562329292297363,2.8162481784820557,0.58,0.0005
,,,,,14017,33.0,33,,,,,,
,,,,,14086,69.0,69,,,,,,
,,,,,14131,45.0,45,,,,,,
,,,,,14164,33.0,33,,,,,,
,,,,,14204,40.0,40,,,,,,
,,,,,14217,13.0,13,,,,,,
,,,,,14232,15.0,15,,,,,,
,,,,,14315,83.0,83,,,,,,
,,,,,14335,20.0,20,,,,,,
,,,,,14352,17.0,17,,,,,,
,,,,,14400,48.0,48,,,,,,
,,,,,14422,22.0,22,,,,,,
,,,,,14447,25.0,25,,,,,,
,,,,,14479,32.0,32,,,,,,
,,,,,14548,69.0,69,,,,,,
,,,,,14575,27.0,27,,,,,,
,,,,,14604,29.0,29,,,,,,
,,,,,14625,21.0,21,,,,,,
,,,,,14654,29.0,29,,,,,,
,,,,,14712,58.0,58,,,,,,
,,,,,14755,43.0,43,,,,,,
,,,,,14766,11.0,11,,,,,,
,,,,,14846,80.0,80,,,,,,
,,,,,14858,12.0,12,,,,,,
