Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,9720,62.0,62,,,,,,
,,,,,9739,19.0,19,,,,,,
,,,,,9787,48.0,48,,,,,,
,,,,,9818,31.0,31,,,,,,
,,,,,9844,26.0,26,,,,,,
,,,,,9867,23.0,23,,,,,,
,,,,,9977,110.0,110,,,,,,
,,,,,9997,20.0,20,,,,,,
176.6,19.360785,201.0,138.0,176.6,10000,,,0.06159227713942528,8.036669731140137,8.063340187072754,1.0229403972625732,0.7,0.0005
,,,,,10042,45.0,45,,,,,,
,,,,,10082,40.0,40,,,,,,
,,,,,10128,46.0,46,,,,,,
,,,,,10174,46.0,46,,,,,,
,,,,,10248,74.0,74,,,,,,
,,,,,10280,32.0,32,,,,,,
,,,,,10393,113.0,113,,,,,,
,,,,,10418,25.0,25,,,,,,
,,,,,10439,21.0,21,,,,,,
,,,,,10513,74.0,74,,,,,,
,,,,,10558,45.0,45,,,,,,
,,,,,10583,25.0,25,,,,,,
,,,,,10617,34.0,34,,,,,,
,,,,,10665,48.0,48,,,,,,
,,,,,10730,65.0,65,,,,,,
,,,,,10783,53.0,53,,,,,,
,,,,,10810,27.0,27,,,,,,
,,,,,10850,40.0,40,,,,,,
,,,,,10916,66.0,66,,,,,,
,,,,,10975,59.0,59,,,,,,
,,,,,10993,18.0,18,,,,,,
,,,,,11000,,,0.07183216512203217,9.00136661529541,8.975685119628906,0.684950590133667,0.67,0.0005
,,,,,11047,54.0,54,,,,,,
,,,,,11095,48.0,48,,,,,,
,,,,,11120,25.0,25,,,,,,
,,,,,11136,16.0,16,,,,,,
,,,,,11191,55.0,55,,,,,,
,,,,,11207,16.0,16,,,,,,
,,,,,11236,29.0,29,,,,,,
,,,,,11295,59.0,59,,,,,,
,,,,,11319,24.0,24,,,,,,
,,,,,11376,57.0,57,,,,,,
,,,,,11417,41.0,41,,,,,,
,,,,,11439,22.0,22,,,,,,
,,,,,11456,17.0,17,,,,,,
,,,,,11467,11.0,11,,,,,,
,,,,,11513,46.0,46,,,,,,
,,,,,11530,17.0,17,,,,,,
,,,,,11630,100.0,100,,,,,,
,,,,,11692,62.0,62,,,,,,
,,,,,11721,29.0,29,,,,,,
,,,,,11738,17.0,17,,,,,,
,,,,,11777,39.0,39,,,,,,
,,,,,11812,35.0,35,,,,,,
,,,,,11843,31.0,31,,,,,,
,,,,,11880,37.0,37,,,,,,
,,,,,11899,19.0,19,,,,,,
,,,,,11947,48.0,48,,,,,,
,,,,,11975,28.0,28,,,,,,
,,,,,11986,11.0,11,,,,,,
,,,,,12000,14.0,14,,,,,,
,,,,,12000,,,0.010252189822494984,10.067922592163086,10.048735618591309,0.3526066243648529,0.6399999999999999,0.0005
,,,,,12015,15.0,15,,,,,,
,,,,,12028,13.0,13,,,,,,
,,,,,12146,118.0,118,,,,,,
,,,,,12308,162.0,162,,,,,,
,,,,,12343,35.0,35,,,,,,
,,,,,12359,16.0,16,,,,,,
,,,,,12376,17.0,17,,,,,,
,,,,,12388,12.0,12,,,,,,
,,,,,12411,23.0,23,,,,,,
,,,,,12464,53.0,53,,,,,,
,,,,,12485,21.0,21,,,,,,
154.4,26.627804,211.0,122.0,154.4,12500,,,0.23740997910499573,10.756210327148438,10.763465881347656,1.0625579357147217,0.625,0.0005
,,,,,12536,51.0,51,,,,,,
,,,,,12552,16.0,16,,,,,,
,,,,,12567,15.0,15,,,,,,
,,,,,12719,152.0,152,,,,,,
,,,,,12731,12.0,12,,,,,,
,,,,,12751,20.0,20,,,,,,
,,,,,12785,34.0,34,,,,,,
,,,,,12820,35.0,35,,,,,,
,,,,,12861,41.0,41,,,,,,
,,,,,12918,57.0,57,,,,,,
,,,,,12967,49.0,49,,,,,,
,,,,,12989,22.0,22,,,,,,
,,,,,13000,,,0.09097113460302353,10.763337135314941,10.734909057617188,1.5449272394180298,0.61,0.0005
,,,,,13039,50.0,50,,,,,,
,,,,,13081,42.0,42,,,,,,
,,,,,13148,67.0,67,,,,,,
,,,,,13194,46.0,46,,,,,,
,,,,,13234,40.0,40,,,,,,
,,,,,13315,81.0,81,,,,,,
,,,,,13327,12.0,12,,,,,,
,,,,,13355,28.0,28,,,,,,
,,,,,13376,21.0,21,,,,,,
,,,,,13480,104.0,104,,,,,,
,,,,,13528,48.0,48,,,,,,
,,,,,13672,144.0,144,,,,,,
,,,,,13719,47.0,47,,,,,,
,,,,,13798,79.0,79,,,,,,
,,,,,13840,42.0,42,,,,,,
,,,,,13853,13.0,13,,,,,,
,,,,,13881,28.0,28,,,,,,
,,,,,13978,97.0,97,,,,,,
,,,,,14000,,,0.02399338409304619,11.045626640319824,11.082839965820312,0.6248174905776978,0.58,0.0005
,,,,,14009,31.0,31,,,,,,
,,,,,14143,134.0,134,,,,,,
,,,,,14186,43.0,43,,,,,,
,,,,,14209,23.0,23,,,,,,
,,,,,14223,14.0,14,,,,,,
,,,,,14249,26.0,26,,,,,,
,,,,,14270,21.0,21,,,,,,
,,,,,14292,22.0,22,,,,,,
,,,,,14316,24.0,24,,,,,,
,,,,,14408,92.0,92,,,,,,
,,,,,14420,12.0,12,,,,,,
,,,,,14445,25.0,25,,,,,,
,,,,,14465,20.0,20,,,,,,
,,,,,14496,31.0,31,,,,,,
,,,,,14531,35.0,35,,,,,,
,,,,,14582,51.0,51,,,,,,
,,,,,14634,52.0,52,,,,,,
,,,,,14696,62.0,62,,,,,,
,,,,,14717,21.0,21,,,,,,
,,,,,14742,25.0,25,,,,,,
,,,,,14756,14.0,14,,,,,,
,,,,,14841,85.0,85,,,,,,
,,,,,14864,23.0,23,,,,,,
,,,,,14899,35.0,35,,,,,,
,,,,,14952,53.0,53,,,,,,
,,,,,14971,19.0,19,,,,,,
,,,,,15000,29.0,29,,,,,,
146.3,27.81025,186.0,98.0,146.3,15000,,,0.06570319831371307,12.623955726623535,12.645174980163574,0.6972696781158447,0.55,0.0005
,,,,,15012,12.0,12,,,,,,
,,,,,15072,60.0,60,,,,,,
,,,,,15086,14.0,14,,,,,,
,,,,,15120,34.0,34,,,,,,
,,,,,15166,46.0,46,,,,,,
,,,,,15193,27.0,27,,,,,,
,,,,,15253,60.0,60,,,,,,
,,,,,15304,51.0,51,,,,,,
,,,,,15335,31.0,31,,,,,,
,,,,,15348,13.0,13,,,,,,
,,,,,15369,21.0,21,,,,,,
,,,,,15389,20.0,20,,,,,,
,,,,,15429,40.0,40,,,,,,
,,,,,15494,65.0,65,,,,,,
,,,,,15542,48.0,48,,,,,,
,,,,,15558,16.0,16,,,,,,
,,,,,15578,20.0,20,,,,,,
,,,,,15614,36.0,36,,,,,,
,,,,,15639,25.0,25,,,,,,
,,,,,15732,93.0,93,,,,,,
,,,,,15753,21.0,21,,,,,,
,,,,,15813,60.0,60,,,,,,
,,,,,15906,93.0,93,,,,,,
,,,,,15939,33.0,33,,,,,,
,,,,,15957,18.0,18,,,,,,
,,,,,15970,13.0,13,,,,,,
,,,,,15986,16.0,16,,,,,,
,,,,,16000,,,0.30718374252319336,13.063082695007324,13.023896217346191,2.414227247238159,0.52,0.0005
,,,,,16007,21.0,21,,,,,,
,,,,,16017,10.0,10,,,,,,
,,,,,16097,80.0,80,,,,,,
,,,,,16117,20.0,20,,,,,,
,,,,,16140,23.0,23,,,,,,
,,,,,16185,45.0,45,,,,,,
,,,,,16209,24.0,24,,,,,,
,,,,,16297,88.0,88,,,,,,
,,,,,16341,44.0,44,,,,,,
,,,,,16360,19.0,19,,,,,,
,,,,,16398,38.0,38,,,,,,
,,,,,16423,25.0,25,,,,,,
,,,,,16520,97.0,97,,,,,,
,,,,,16568,48.0,48,,,,,,
,,,,,16608,40.0,40,,,,,,
,,,,,16634,26.0,26,,,,,,
,,,,,16678,44.0,44,,,,,,
,,,,,16698,20.0,20,,,,,,
,,,,,16714,16.0,16,,,,,,
,,,,,16735,21.0,21,,,,,,
,,,,,16754,19.0,19,,,,,,
,,,,,16835,81.0,81,,,,,,
,,,,,16857,22.0,22,,,,,,
,,,,,16954,97.0,97,,,,,,
,,,,,16969,15.0,15,,,,,,
,,,,,17000,,,0.04597286880016327,14.362228393554688,14.345364570617676,1.5342057943344116,0.49,0.0005
,,,,,17036,67.0,67,,,,,,
,,,,,17078,42.0,42,,,,,,
,,,,,17154,76.0,76,,,,,,
,,,,,17168,14.0,14,,,,,,
,,,,,17209,41.0,41,,,,,,
,,,,,17230,21.0,21,,,,,,
,,,,,17313,83.0,83,,,,,,
,,,,,17338,25.0,25,,,,,,
,,,,,17351,13.0,13,,,,,,
,,,,,17366,15.0,15,,,,,,
,,,,,17377,11.0,11,,,,,,
,,,,,17391,14.0,14,,,,,,
,,,,,17451,60.0,60,,,,,,
,,,,,17464,13.0,13,,,,,,
,,,,,17493,29.0,29,,,,,,
114.6,3.2619014,120.0,111.0,114.6,17500,,,0.18947160243988037,14.15896987915039,14.11022663116455,2.8623545169830322,0.475,0.0005
,,,,,17540,47.0,47,,,,,,
,,,,,17551,11.0,11,,,,,,
,,,,,17566,15.0,15,,,,,,
,,,,,17593,27.0,27,,,,,,
,,,,,17705,112.0,112,,,,,,
,,,,,17715,10.0,10,,,,,,
,,,,,17735,20.0,20,,,,,,
,,,,,17753,18.0,18,,,,,,
,,,,,17764,11.0,11,,,,,,
,,,,,17774,10.0,10,,,,,,
,,,,,17848,74.0,74,,,,,,
,,,,,17894,46.0,46,,,,,,
,,,,,17912,18.0,18,,,,,,
